"PLZ";"Station";"Abholdatum"
8001;"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht";"Mo, 18. August 2014"
8002;"Gotthardstrasse / Tessinerplatz";"Di, 2. September 2014"
8003;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 1. Oktober 2014"
8003;"Gotthardstrasse / Tessinerplatz";"Di, 2. September 2014"
8003;"Helvetiaplatz";"Mo, 29. September 2014"
8003;"Uetlibergstrasse 134";"Mi, 3. September 2014"
8003;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 4. September 2014"
8004;"Helvetiaplatz";"Mo, 29. September 2014"
8005;"Röntgenplatz";"Sa, 6. September 2014"
8006;"Rigiplatz";"Fr, 3. Oktober 2014"
8008;"Seefeldstrasse 152 / Wertstoff-Sammelstelle";"Di, 16. September 2014"
8032;"Merkurplatz: Minervastrasse / Merkurstrasse";"Do, 21. August 2014"
8037;"Röschibachplatz / Röschibachstrasse 79";"Mi, 17. September 2014"
8038;"Etzelstrasse / Mutschellenstrasse, Wertstoff-Sammelstelle";"Do, 18. September 2014"
8041;"Leimbachstrasse 160 / Klebestrasse, Wertstoff-Sammelstelle";"Mo, 1. September 2014"
8044;"Tramhaltestelle Kirche Fluntern / Zürichbergstrasse 75";"Mi, 20. August 2014"
8045;"Uetlibergstrasse 134";"Mi, 3. September 2014"
8046;"Wehntalerstrasse 539 beim Zehntenhausplatz";"Sa, 4. Oktober 2014"
8047;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 1. Oktober 2014"
8048;"Lindenplatz";"Di, 19. August 2014"
8049;"Limmattalstrasse 227-229";"Fr, 5. September 2014"
8049;"Limmattalstrasse 227-229";"Sa, 20. September 2014"
8050;"Marktplatz Oerlikon";"Fr, 19. September 2014"
8051;"Schwamendingerplatz";"Mo, 15. September 2014"
8052;"Tramhaltestelle Seebach / Schaffhauserstrasse 501";"Sa, 23. August 2014"
8053;"Witikonerstrasse 390, Parkplatz";"Fr, 22. August 2014"
8055;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 4. September 2014"
8057;"Milchbuckstrasse 2 / Tramhaltestelle Guggachstrasse";"Do, 2. Oktober 2014"
8064;"Tramhaltestelle Werdhölzli, im Recyclinghof";"Do, 28. August 2014"
8001;"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht";"Mo, 17. August 2015"
8002;"Gotthardstrasse / Tessinerplatz";"Di, 1. September 2015"
8003;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 30. September 2015"
8003;"Gotthardstrasse / Tessinerplatz";"Di, 1. September 2015"
8003;"Helvetiaplatz";"Mo, 28. September 2015"
8003;"Uetlibergstrasse 134";"Mi, 2. September 2015"
8003;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 3. September 2015"
8004;"Helvetiaplatz";"Mo, 28. September 2015"
8005;"Röntgenplatz";"Sa, 5. September 2015"
8006;"Rigiplatz";"Fr, 2. Oktober 2015"
8008;"Seefeldstrasse 152 / Wertstoff-Sammelstelle";"Di, 15. September 2015"
8032;"Merkurplatz: Minervastrasse / Merkurstrasse";"Do, 20. August 2015"
8037;"Röschibachplatz / Röschibachstrasse 79";"Mi, 16. September 2015"
8038;"Etzelstrasse / Mutschellenstrasse, Wertstoff-Sammelstelle";"Do, 17. September 2015"
8041;"Leimbachstrasse 160 / Klebestrasse, Wertstoff-Sammelstelle";"Mo, 31. August 2015"
8044;"Tramhaltestelle Kirche Fluntern / Zürichbergstrasse 75";"Mi, 19. August 2015"
8045;"Uetlibergstrasse 134";"Mi, 2. September 2015"
8046;"Wehntalerstrasse 539 beim Zehntenhausplatz";"Sa, 3. Oktober 2015"
8047;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 30. September 2015"
8048;"Lindenplatz";"Di, 18. August 2015"
8048;"Lindenplatz";"Di, 29. September 2015"
8049;"Limmattalstrasse 227-229";"Fr, 4. September 2015"
8049;"Limmattalstrasse 227-229";"Sa, 19. September 2015"
8050;"Marktplatz Oerlikon";"Fr, 18. September 2015"
8051;"Schwamendingerplatz";"Mo, 14. September 2015"
8052;"Tramhaltestelle Seebach / Schaffhauserstrasse 501";"Sa, 22. August 2015"
8053;"Witikonerstrasse 390, Parkplatz";"Fr, 21. August 2015"
8055;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 3. September 2015"
8057;"Milchbuckstrasse 2 / Tramhaltestelle Guggachstrasse";"Do, 1. Oktober 2015"
8064;"Tramhaltestelle Werdhölzli, im Recyclinghof";"Do, 27. August 2015"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","Mo, 22. August 2016"
8002,"Tessinerplatz","Di, 6. September 2016"
8003,"Alte evangelische Kirche/Triemlistrasse 2","Mi, 5. Oktober 2016"
8003,"Helvetiaplatz","Mo, 3. Oktober 2016"
8003,"Tessinerplatz","Di, 6. September 2016"
8003,"Uetlibergstrasse 134","Mi, 7. September 2016"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","Do, 8. September 2016"
8004,"Helvetiaplatz","Mo, 3. Oktober 2016"
8005,"Röntgenplatz","Sa, 10. September 2016"
8006,"Rigiplatz","Fr, 7. Oktober 2016"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","Di, 20. September 2016"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","Do, 25. August 2016"
8037,"Röschibachplatz/Röschibachstrasse 79","Mi, 21. September 2016"
8038,"Etzelstrasse/Mutschellenstrasse","Do, 22. September 2016"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","Mo, 5. September 2016"
8044,"Tramhaltestelle Kirche Fluntern/Zürichbergstrasse 75","Di, 30. August 2016"
8045,"Uetlibergstrasse 134","Mi, 7. September 2016"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz","Sa, 8. Oktober 2016"
8047,"Alte evangelische Kirche/Triemlistrasse 2","Mi, 5. Oktober 2016"
8048,"Lindenplatz","Di, 23. August 2016"
8048,"Lindenplatz","Di, 4. Oktober 2016"
8049,"Limmattalstrasse 227-229","Fr, 9. September 2016"
8049,"Limmattalstrasse 227-229","Sa, 24. September 2016"
8050,"Marktplatz Oerlikon","Fr, 23. September 2016"
8051,"Schwamendingerplatz","Mo, 19. September 2016"
8052,"Tramhaltestelle Seebach/Schaffhauserstrasse 501","Sa, 27. August 2016"
8053,"Parkplatz Waag/Witikonerstrasse 390","Fr, 26. August 2016"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","Do, 8. September 2016"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","Do, 6. Oktober 2016"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","Do, 1. September 2016"
